Kategori,Kode,Judul,Deskripsi
C,12,INDUSTRI PRODUK TEMBAKAU,Golongan pokok ini mencakup pengolahan tembakau atau produk pengganti tembakau ke dalam bentuk yang siap digunakan untuk konsumsi akhir.
C,13,INDUSTRI TEKSTIL,"Golongan pokok ini mencakup kegiatan persiapan dan pemintalan serat tekstil, pertenunan, dan penyempurnaan tekstil dan pakaian jadi, pembuatan barang tekstil untuk keperluan teknis, pembuatan barang-barang tekstil bukan pakaian (seperti barang jadi tekstil untuk keperluan rumah tangga, selimut, permadani, dan tali-temali)."
C,14,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA (APPAREL),"Golongan pokok ini mencakup semua pekerjaan penjahitan pakaian (pakaian siap pakai atau dibuat berdasarkan ukuran/pesanan) dari semua bahan (seperti kulit, kain berbulu, kain tenun, kain rajutan, kain crocheted), dari semua jenis pakaian (seperti pakaian luar; pakaian dalam pria, wanita, atau anak-anak; pakaian kerja; dan pakaian santai) dan perlengkapan pakaian. Dalam golongan pokok ini, tidak ada perbedaan dalam pembuatan antara pakaian untuk anakanak dan orang dewasa. Golongan pokok ini juga mencakup pembuatan perlengkapan pakaian dan barang lainnya dari kulit berbulu."
C,15,INDUSTRI KULIT DAN PRODUK SEJENIS,"Golongan pokok ini mencakup pengolahan dan pewarnaan kulit berbulu dan proses perubahan dari kulit mentah menjadi kulit jadi, kulit samak, atau kulit finished dengan proses penyamakan atau proses pengawetan serta pengolahan kulit menjadi produk yang siap pakai. Golongan pokok ini juga mencakup pembuatan produk sejenis dari bahan selain kulit, seperti alas kaki dari bahan karet dan koper dari tekstil."
C,16,"INDUSTRI KAYU, BARANG DARI KAYU DAN GABUS (TIDAK TERMASUK FURNITUR); INDUSTRI BARANG ANYAMAN DARI BAMBU, ROTAN, DAN SEJENISNYA","Golongan pokok ini mencakup pembuatan barang-barang dari kayu, seperti kayu gergajian, kayu lapis, venir, kontainer kayu, lantai kayu, kuda-kuda, bangunan kayu prafabrikasi, dan bahan bakar padat dari biomassa sayur-sayuran; serta penyempurnaan produk kayu. Proses produksi mencakup kegiatan penggergajian, penghalusan permukaan, pembentukan, pelapisan, dan perakitan produk kayu."
C,17,INDUSTRI KERTAS DAN BARANG DARI KERTAS,"Golongan pokok ini mencakup pembuatan bubur kertas, kertas, produk kertas olahan, dan pembuatan produk daur ulang dari kayu, kertas, karton, dan papan kertas. Pembuatan dari produk-produk tersebut dikelompokkan bersama karena mereka berada dalam satu rangkaian proses pengolahan yang berkaitan. Seringkali, dalam satu unit terdapat lebih dari satu kegiatan."
C,18,PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,"Golongan pokok ini mencakup kegiatan pencetakan berbagai macam produk, seperti koran, buku, terbitan berkala, surat-surat bisnis dan kartu ucapan, serta pencetakan pada berbagai media, serta kegiatan penunjang yang berkaitan dengan kegiatan pencetakan, seperti penjilidan buku, jasa pembuatan pelat cetak, dan pencitraan data/data imaging."
C,19,INDUSTRI PRODUK DARI BATU BARA DAN PENGILANGAN MINYAK BUMI,"Golongan pokok ini mencakup kegiatan perubahan minyak bumi mentah dan batu bara menjadi produk yang dapat digunakan. Proses yang dominan adalah pengilangan minyak bumi, dengan kegiatan meliputi pemisahan minyak bumi mentah menjadi produk komponen melalui teknik seperti pemecahan/penguraian dan penyulingan."
C,20,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,Golongan pokok ini mencakup perubahan bahan baku organik dan anorganik dengan proses kimia untuk menghasilkan produk. Golongan pokok ini membedakan produksi bahan kimia dasar (yang termasuk dalam golongan pertama) dari produksi produk antara dan produk akhir yang dihasilkan melalui pengolahan lebih lanjut dari bahan kimia dasar.
C,21,"INDUSTRI SEDIAAN FARMASI, OBAT KIMIA, DAN OBAT TRADISIONAL","Golongan pokok ini mencakup pembuatan produk farmasi dasar dan preparat farmasi. Golongan pokok ini mencakup antara lain preparat darah, obat-obatan jadi, sediaan diagnostik, sediaan medis, obat tradisional atau jamu, suplemen kesehatan, dan produk botanikal untuk keperluan farmasi."
C,22,INDUSTRI BARANG DARI KARET DAN PLASTIK,"Golongan pokok ini mencakup pembuatan barang dari karet dan plastik. Golongan pokok ini dicirikan dengan penggunaan bahan baku karet dan plastik dalam proses pembuatannya. Walaupun demikian, tidak berarti bahwa pembuatan semua barang yang terbuat dari bahan baku karet dan plastik termasuk di sini."
C,23,INDUSTRI PRODUK MINERAL NONLOGAM,"Golongan pokok ini mencakup kegiatan pengolahan bahan baku menjadi barang jadi yang berhubungan dengan unsur tunggal suatu mineral murni. Golongan pokok ini meliputi pembuatan kaca dan produk kaca, produk keramik, ubin, produk tanah liat bakar, serta semen, beton, dan plester, mulai dari bahan mentah hingga barang jadi."
C,24,INDUSTRI LOGAM DASAR,"Golongan pokok ini mencakup kegiatan peleburan dan penyulingan logam besi dan bukan besi dari bijih, logam kasar (pig metal), limbah logam atau scrap, dengan menggunakan bermacam teknik metalurgi. Golongan pokok ini juga mencakup pembuatan logam paduan dan paduan super dengan mencampurkan elemen paduan pada logam murni."
C,25,INDUSTRI PRODUK LOGAM PABRIKASI BUKAN MESIN DAN PERALATANNYA,"Golongan pokok ini mencakup pembuatan produk logam ""murni"" (seperti suku cadang, kontainer/wadah, dan struktur), yang pada umumnya mempunyai fungsi statis atau tidak bergerak, serta pembuatan perlengkapan senjata dan amunisi."
C,26,"INDUSTRI PRODUK KOMPUTER, ELEKTRONIK, DAN OPTIK","Golongan pokok ini mencakup pembuatan komputer, perlengkapan komputer, peralatan komunikasi, dan produk-produk elektronik sejenis, termasuk pembuatan komponennya. Proses produksi ditandai dengan rancangan dan penggunaan penerapan teknologi tinggi untuk menciptakan IC dan barang-barang berukuran kecil."
C,27,INDUSTRI PERALATAN LISTRIK,"Golongan pokok ini mencakup pembuatan produk yang membangkitkan, mendistribusikan, dan menggunakan tenaga listrik. Golongan pokok ini juga mencakup pembuatan lampu listrik, peralatan sinyal, dan peralatan rumah tangga listrik."
C,28,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,"Golongan pokok ini mencakup pembuatan mesin dan peralatan yang dapat bekerja bebas dengan bahan-bahan baik secara mekanik atau yang berhubungan dengan panas atau melaksanakan pengolahan bahan-bahan (seperti pengangkatan, penyemprotan, penimbangan atau pengepakan), termasuk komponen mekaniknya yang menghasilkan dan menggunakan tenaga."
C,29,"INDUSTRI KENDARAAN BERMOTOR, TRAILER, DAN SEMITRAILER","Golongan pokok ini mencakup pembuatan kendaraan bermotor untuk angkutan penumpang atau barang. Pembuatan berbagai suku cadang dan aksesori kendaraan bermotor, termasuk pembuatan trailer atau semitrailer dicakup dalam golongan pokok ini."
C,30,INDUSTRI ALAT ANGKUTAN LAINNYA,"Golongan pokok ini mencakup alat angkutan lain, seperti pembuatan kapal dan perahu, lori/gerbong kereta api dan lokomotif, pesawat udara dan pesawat angkasa, sepeda motor dan sepeda, serta pembuatan suku cadangnya yang belum diklasifikasikan di tempat lain."
C,31,INDUSTRI FURNITUR,"Golongan pokok ini mencakup pembuatan furnitur dan dan bagiannya, kecuali kaca lembaran dan lempengan, batu, beton, atau bahan yang serupa dengan bagian furnitur. Perancangan produk, baik untuk estetika dan kualitas fungsi adalah aspek yang penting dalam proses produksi."
C,32,INDUSTRI PRODUK LAINNYA,"Golongan pokok ini mencakup pembuatan berbagai macam barang yang belum dicakup di tempat lain dalam klasifikasi ini. Oleh karena golongan pokok ini bersifat residual, maka proses produksi, bahan input, dan penggunaan barang-barang yang dihasilkan dapat berubah-ubah secara luas."
C,33,"REPARASI, PEMELIHARAAN, DAN PEMASANGAN MESIN DAN PERALATAN","Golongan pokok ini mencakup kegiatan reparasi khusus barang barang yang dihasilkan dari lapangan usaha industri dengan tujuan untuk pemulihan mesin, peralatan dan produk lainnya menjadi baik, termasuk disini jasa rekondisi."
D,35,"PENYEDIAAN LISTRIK, GAS, UAP/AIR PANAS, DAN UDARA DINGIN","Kategori ini mencakup pembangkitan, penyimpanan, pengendalian, distribusi, perdagangan, dan keagenan tenaga listrik atau bahan bakar gas untuk penyediaan energi melalui jaringan, saluran, atau pipa permanen, termasuk penyediaan energi untuk lokasi pabrik atau bangunan tempat tinggal."
E,36,"PENAMPUNGAN, PENGAMBILAN, PENGOLAHAN, DAN PENYEDIAAN AIR","Golongan pokok ini mencakup kegiatan penampungan, pengambilan, pengolahan, dan pendistribusian air ke pengguna akhir. Pengambilan air berasal dari berbagai sumber serta pendistribusian melalui jaringan perpipaan dan bukan jaringan perpipaan tercakup di sini."
E,37,PENGELOLAAN AIR LIMBAH,"Golongan pokok ini mencakup kegiatan pengoperasian sistem pembuangan air limbah atau fasilitas pengolahan air limbah, termasuk kegiatan pengumpulan, pengolahan, dan pembuangan air limbah ke badan air atau pengoperasian kolam penyimpanan khusus."
E,38,"PENGUMPULAN, PENGOLAHAN DAN PEMBUANGAN LIMBAH ATAU SAMPAH; SERTA AKTIVITAS PEMULIHAN","Golongan pokok ini mencakup kegiatan pengumpulan, pengolahan untuk persiapan pemulihan atau pembuangan, pemulihan dan pembuangan limbah dan sampah serta pengorganisasiannya. Golongan pokok ini juga mencakup pengumpulan limbah dan sampah dalam wilayah setempat dan pengoperasian fasilitas daur ulang."
E,39,AKTIVITAS REMEDIASI DAN PENGELOLAAN LIMBAH ATAU SAMPAH LAINNYA,"Golongan pokok ini mencakup penyediaan jasa pemulihan kembali lingkungan dari pencemaran (remediasi), misalnya jasa pemulihan lokasi atau tempat dan gedung, tanah, air bawah tanah, atau air permukaan yang tercemar."
F,41,KONSTRUKSI GEDUNG HUNIAN DAN GEDUNG NONHUNIAN,"Golongan pokok ini mencakup kegiatan konstruksi umum berbagai macam jenis dan ukuran, seperti pembangunan gedung baru, perbaikan gedung, penambahan dan perubahan gedung, pendirian gedungprapabrikasi pada lokasi dan gedung yang bersifat sementara."
F,42,KONSTRUKSI BANGUNAN SIPIL,"Golongan pokok ini mencakup kegiatan konstruksi umum bangunan sipil, baik bangunan baru, perbaikan bangunan, penambahan bangunan dan perubahan bangunan, pendirian modul prapabrikasi pada lokasi proyek, dan konstruksi yang bersifat sementara. Golongan pokok ini juga mencakup kegiatan konstruksi berat."
F,43,KONSTRUKSI KHUSUS,"Golongan pokok ini mencakup kegiatan konstruksi khusus (yang berhubungan dengan keahlian khusus), biasanya khusus pada satu aspek umum untuk struktur yang berbeda, yang membutuhkan peralatan atau keterampilan khusus. Golongan pokok ini mencakup pemasangan semua jenis utilitas yang membuat bangunan gedung atau bangunan sipil berfungsi sebagaimana mestinya."
G,46,Perdagangan Besar,"Golongan pokok ini mencakup perdagangan besar barang fisik atas nama sendiri atau atas dasar balas jasa atau kontrak (perdagangan komisi) yang terkait dengan perdagangan besar domestik dan internasional (impor/ekspor), termasuk perdagangan besar secara daring. Perdagangan besar atas nama sendiri berarti memiliki hak atas barang yang diperdagangkan hingga hak tersebut dialihkan kepada pembeli barang. Dalam perdagangan transit, barang dipesan oleh pembeli, tetapi agen memiliki hak atas barang selama dalam perjalanan; keduanya diklasifikasikan dengan cara yang sama (golongan 462-469). Golongan pokok ini mencakup perdagangan besar atas dasar balas jasa atau kontrak (golongan 461), perdagangan besar khusus (golongan 462-467), dan perdagangan besar tidak khusus (golongan 469); subgolongan 4630 merupakan pengecualian karena tidak mencakup perdagangan besar tidak khusus untuk makanan, minuman, dan tembakau. Golongan pokok ini juga mencakup perdagangan besar mobil dan sepeda motor, serta suku cadang, perlengkapan, dan aksesori terkait, serta perdagangan transit. Golongan pokok ini tidak mencakup: perdagangan listrik (lihat 3513); perdagangan bahan bakar gas untuk pasokan energi melalui jaringan (lihat 3520); penyewaan dan sewa guna usaha barang (lihat kategori O); jasa pengemasan barang padat dan pembotolan barang cair atau gas, termasuk pencampuran dan penyaringan untuk pihak ketiga (lihat 8292)."
G,47,Perdagangan Eceran,"Golongan pokok ini mencakup penjualan kembali (penjualan tanpa transformasi atau dengan perubahan kecil atau perubahan biasa seperti rekondisi) barang-barang baru dan bekas kepada masyarakat umum untuk konsumsi atau kepuasan pribadi atau rumah tangga, melalui toko, toserba, koperasi konsumen, kios, rumah pesanan lewat pos, internet, penjual keliling (sales), pedagang kaki lima, dan lain-lain. Golongan pokok ini mencakup perdagangan eceran mobil dan sepeda motor termasuk kendaraan listrik. Aktivitas perdagangan eceran diklasifikasikan berdasarkan barang yang diperdagangkan tanpa memperhatikan cara penjualannya. Aktivitas ini dibagi ke dalam perdagangan eceran barang khusus (golongan 472 s.d. 478) dan berbagai barang atau barang umum (golongan 471), termasuk perdagangan barang bekas (subgolongan 4774). Barang yang dijual dibatasi untuk barang yang biasanya berkenaan dengan barang konsumen atau eceran; barang seperti bijih-bijihan atau mesin industri dikeluarkan dari sini. Pendistribusian produk digital, termasuk jasa pengunduhan dan pengaliran (streaming) juga termasuk di sini. Golongan ini juga mencakup unit yang utamanya menjual produk seperti komputer pribadi atau alat tulis ke masyarakat umum meskipun bukan untuk penggunaan pribadi. Penanganan lazim dalam perdagangan tidak mengubah bentuk dasar barang dan dapat mencakup penyortiran, pencampuran, pengemasan, pengiriman, dan pemasangan barang. Termasuk di dalamnya: perdagangan eceran minyak otomotif dan produk pelumas atau pendingin; aktivitas rumah lelang; aktivitas unit penyedia jasa intermediasi perdagangan eceran (lokapasar/marketplace) tanpa pemindahan hak kepemilikan; serta mesin penjual otomatis. Golongan pokok ini tidak mencakup: penjualan produk pertanian oleh petani (lihat 01); manufaktur dan penjualan barangnya (lihat industri 10-32); perdagangan biji-bijian sereal, bijih logam, minyak mentah, bahan kimia, mesin dan peralatan industri dan besi baja (lihat 46); dispenser kopi dan mesin penjual otomatis yang menyiapkan makanan/minuman untuk konsumsi segera (lihat 56); pendistribusian produk digital melalui pengunduhan/streaming oleh penerbit (lihat kategori J); penyewaan mobil atau sepeda motor (lihat 771); penyewaan barang pribadi dan rumah tangga (lihat 772)."
H,49,"Transportasi Jalan, Transportasi Kereta Api, dan Transportasi Melalui Saluran Pipa","Golongan pokok ini mencakup transportasi penumpang dan barang melalui jalan, rel atau saluran pipa. Kegiatan yang termasuk di dalamnya meliputi transportasi penumpang, baik untuk keperluan pribadi, profesional, maupun rekreasi, serta transportasi barang melalui jalan, rel, atau saluran pipa."
H,50,Transportasi Perairan,"Golongan pokok ini mencakup aktivitas transportasi perairan untuk penumpang atau barang baik terjadwal maupun tidak, baik untuk keperluan profesional, pribadi, maupun rekreasi. Golongan pokok ini juga mencakup pengoperasian kapal penarik atau pendorong, kapal pesiar, kapal wisata atau kapal penjelajah, feri, taksi air, dan lain-lain. Meskipun lokasi dapat menjadi indikator dalam membedakan antara transportasi laut dan transportasi perairan darat, faktor penentunya adalah jenis kapal yang digunakan. Transportasi menggunakan kapal laut diklasifikasikan dalam golongan 501, sedangkan transportasi menggunakan jenis kapal lainnya diklasifikasikan dalam golongan 502. Golongan pokok ini tidak mencakup kegiatan restoran dan bar di atas kapal (lihat subgolongan 5610 dan 5630) jika dilakukan oleh unit terpisah."
H,51,Transportasi Udara,"Golongan pokok ini mencakup aktivitas transportasi penumpang atau barang melalui udara atau angkasa. Golongan pokok ini tidak mencakup: penyemprotan tanaman dari udara, lihat subgolongan 0161; perbaikan dan pemeliharaan pesawat udara atau mesin pesawat, lihat subgolongan 3315; pengoperasian bandara, lihat subgolongan 5223; iklan udara (sky-writing), lihat subgolongan 7310; fotografi udara, lihat subgolongan 7420; pengawasan udara sipil, lihat subgolongan 8019; pengawasan udara militer, lihat subgolongan 8422."
H,52,Pergudangan dan Aktivitas Penunjang Transportasi,"Golongan pokok ini mencakup aktivitas pergudangan dan penunjang transportasi, seperti pengoperasian infrastruktur transportasi misalnya bandara, pelabuhan, terowongan, dan jembatan, termasuk kegiatan agen transportasi dan penanganan kargo. Kegiatan tersebut dilakukan atas nama dan untuk kepentingan pihak ketiga. Jika layanan tersebut disediakan semata-mata untuk mendukung kegiatan transportasi oleh unit yang sama, layanan tersebut akan dianggap sebagai kegiatan tambahan untuk transportasi dan unit tersebut akan diklasifikasikan di tempat lain dalam kategori H."
H,53,Aktivitas Pos dan Kurir,"Golongan pokok ini mencakup aktivitas pos dan kurir, seperti pengumpulan, pemrosesan, pengangkutan, dan pengantaran surat dan paket melalui berbagai mekanisme pengantaran, termasuk jasa pengiriman lokal."
I,55,Penyediaan Akomodasi,"Golongan pokok ini mencakup penyediaan akomodasi jangka pendek untuk pengunjung dan pelancong lainnya. Penyediaan akomodasi dapat hanya menyediakan fasilitas akomodasi saja atau kombinasi fasilitas akomodasi, makanan dan minuman, dan/atau fasilitas rekreasi. Golongan pokok ini tidak termasuk aktivitas yang berkaitan dengan penyediaan fasilitas tempat tinggal, seperti flat atau apartemen, lihat golongan pokok 68."
I,56,Aktivitas Penyediaan Makanan dan Minuman,"Golongan pokok ini mencakup kegiatan pelayanan makan minum yang menyediakan makanan atau minuman untuk dikonsumsi segera, baik restoran tradisional, restoran ""self service"", maupun restoran ""take away"", baik di tempat tetap maupun sementara dengan atau tanpa tempat duduk. Hal yang menjadi penentu (utama) adalah bahwa makanan yang disajikan siap untuk langsung dikonsumsi, bukan jenis tempat/usaha yang menyediakannya. Golongan pokok ini tidak mencakup produksi makanan yang tidak bisa dikonsumsi segera atau yang memang tidak direncanakan untuk dikonsumsi segera atau makanan olahan yang tidak dianggap sebagai makanan yang bisa dikonsumsi segera, lihat golongan pokok 10, 11. Golongan pokok ini juga tidak mencakup penjualan makanan bukan buatan sendiri yang tidak direncanakan untuk menjadi makanan atau makanan yang bisa dikonsumsi segera, lihat kategori G. Dispenser kopi dan mesin penjual otomatis/vending machine yang menjual makanan dan minuman yang disiapkan oleh mesin itu sendiri diklasifikasikan ke golongan pokok 47."
J,58,Aktivitas Penerbitan,"Golongan pokok ini mencakup aktivitas penerbitan buku, brosur, leaflet, kamus, ensiklopedia, atlas, peta, dan grafik; penerbitan surat kabar, jurnal, majalah, dan terbitan berkala lainnya; direktori, mailing list, dan penerbitan lainnya, serta penerbitan perangkat lunak (software) dan video gim. Penerbitan termasuk perolehan hak cipta atas konten (produk informasi) dan membuat konten ini tersedia untuk publik melalui kegiatan reproduksi dan distribusi dalam berbagai bentuk. Penerbit dapat memberikan lisensi kepada pihak lain untuk mendistribusikan kontennya, atau dapat menerbitkan dan mendistribusikan konten yang mereka ciptakan atau miliki. Semua bentuk yang mungkin dari penerbitan (baik dalam bentuk cetak, elektronik digital, maupun bentuk lainnya) dan aktivitas penerbitan sendiri (self-publishing) juga termasuk dalam golongan pokok ini, tetapi tidak termasuk penerbitan film dan musik. Golongan pokok ini juga mencakup aktivitas streaming konten, seperti perangkat lunak dan buku, yang dilakukan oleh penerbit konten. Golongan pokok ini tidak mencakup: aktivitas produksi film, video, dan sinema, serta penerbitan musik dan produksi rekaman suara master asli (lihat golongan pokok 59); perolehan hak siar atau hak distribusi dari penerbit untuk konten siaran (lihat golongan pokok 60); aktivitas pemrograman komputer (lihat golongan pokok 62); percetakan (lihat subgolongan 1811); dan reproduksi media rekaman secara massal (lihat subgolongan 1820)."
J,59,"Aktivitas Produksi Film, Video, dan Program Televisi, serta Perekaman Suara dan Penerbitan MUsik","Golongan pokok ini mencakup aktivitas pembuatan atau produksi gambar bergerak termasuk film (baik film teatrikal maupun nonteatrikal), video, atau karya audiovisual lainnya termasuk vlog, baik untuk diputar langsung di bioskop, disiarkan, maupun ditayangkan melalui platform streaming; kegiatan pascaproduksi pendukung seperti editing, cutting, dubbing film, atau konversi ke format video streaming; pendistribusian gambar bergerak dan produk audiovisual lainnya untuk industri lain; serta kegiatan pemutaran film atau produk audiovisual lainnya. Termasuk juga pembelian dan penjualan hak distribusi atas film, gambar bergerak lain, atau produk audiovisual lainnya. Golongan pokok ini juga mencakup aktivitas perekaman suara, seperti produksi master perekaman suara asli, merilis, mempromosikan dan mendistribusikannya, penerbitan musik, termasuk distribusi langsung ke publik melalui layanan streaming dan unduhan digital, serta kegiatan jasa perekaman suara di dalam studio atau di tempat lain. Golongan pokok ini tidak mencakup: aktivitas layanan distribusi atau penyebaran streaming dan unduhan berdasarkan permintaan oleh pihak ketiga, lihat golongan pokok 60; aktivitas musisi dan aktor independen (termasuk influencer yang tampil dalam vlog), sutradara, penata panggung, dan kegiatan pendukung seni pertunjukan lainnya, lihat kategori S; aktivitas perdagangan besar dan eceran rekaman audio dan video dalam bentuk media fisik, lihat kategori G; aktivitas penyewaan cakram video/video disc, lihat kategori O."
