no,tipe,query,kode_ground_truth,rank_SQL_None,top1_SQL_None,top3_SQL_None,top10_SQL_None,rr_SQL_None,rank_SQL_Basic,top1_SQL_Basic,top3_SQL_Basic,top10_SQL_Basic,rr_SQL_Basic,rank_SQL_Advanced,top1_SQL_Advanced,top3_SQL_Advanced,top10_SQL_Advanced,rr_SQL_Advanced,rank_Hybrid_None,top1_Hybrid_None,top3_Hybrid_None,top10_Hybrid_None,rr_Hybrid_None,rank_Hybrid_Basic,top1_Hybrid_Basic,top3_Hybrid_Basic,top10_Hybrid_Basic,rr_Hybrid_Basic,rank_Hybrid_Advanced,top1_Hybrid_Advanced,top3_Hybrid_Advanced,top10_Hybrid_Advanced,rr_Hybrid_Advanced
18,KBLI,jual baju online,47711,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
19,KBLI,usaha katering,56210,4,0,0,1,0.25,4,0,0,1,0.25,1,1,1,1,1.0,0,0,0,0,0.0,0,0,0,0,0.0,1,1,1,1,1.0
20,KBLI,produksi roti rumahan,10710,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
21,KBLI,usaha air minum isi ulang,11052,2,0,1,1,0.5,2,0,1,1,0.5,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
22,KBLI,toko elektronik,47592,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
23,KBLI,jual pulsa,61201,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
24,KBLI,jasa fotokopi,82100,0,0,0,0,0.0,0,0,0,0,0.0,2,0,1,1,0.5,1,1,1,1,1.0,1,1,1,1,1.0,2,0,1,1,0.5
25,KBLI,usaha percetakan,18111,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
26,KBLI,jasa cleaning service,81210,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
27,KBLI,rental mobil,77100,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
28,KBLI,usaha penginapan homestay,55201,0,0,0,0,0.0,0,0,0,0,0.0,3,0,1,1,0.3333,0,0,0,0,0.0,0,0,0,0,0.0,3,0,1,1,0.3333
29,KBLI,peternakan ayam,01461,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
30,KBLI,usaha online shop,47711,0,0,0,0,0.0,0,0,0,0,0.0,7,0,0,1,0.1429,0,0,0,0,0.0,0,0,0,0,0.0,3,0,1,1,0.3333
