metode,no,tipe,query,preprocessed,contoh,kode_gt,rank,top1,top3,top10,rr
2. SQL LIKE + Advanced Preprocessing,15,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,tani bawang merah hortikultural sawah milik,,01134,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,16,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,tani bawang merah hortikultural sawah milik,,9211,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,17,KBLI,KONTRUKSI RUMAH DI DESA,kontruksi rumah desa,,41011,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,18,KBJI,KONTRUKSI RUMAH DI DESA,kontruksi rumah desa,,7112,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,19,KBLI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,dagang barang bekas jual lagi,,47749,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,20,KBJI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,dagang barang bekas jual lagi,,5249,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,21,KBLI,PEDAGANG MOTOR DI RUMAH SENDIRI,motor rumah sendiri,,47832,2,0,1,1,0.5
2. SQL LIKE + Advanced Preprocessing,22,KBJI,PEDAGANG MOTOR DI RUMAH SENDIRI,motor rumah sendiri,,5249,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,23,KBLI,JASA TRANSPORTASI,transportasi,,49231,0,0,0,0,0.0
2. SQL LIKE + Advanced Preprocessing,24,KBJI,JASA TRANSPORTASI,transportasi,,8322,0,0,0,0,0.0
2. SQL LIKE + Advanced Preprocessing,25,KBLI,PENYEDIA BHAN BAKU MAKANAN,sedia bhan baku makan,,47213,0,0,0,0,0.0
2. SQL LIKE + Advanced Preprocessing,26,KBJI,PENYEDIA BHAN BAKU MAKANAN,sedia bhan baku makan,,9520,3,0,1,1,0.3333
2. SQL LIKE + Advanced Preprocessing,27,KBLI,TUKANG BATU,batu,,41011,0,0,0,0,0.0
2. SQL LIKE + Advanced Preprocessing,28,KBJI,TUKANG BATU,batu,,7111,0,0,0,0,0.0
2. SQL LIKE + Advanced Preprocessing,29,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,tani bawang merah hortikultural sawah milik,,01134,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,30,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,tani bawang merah hortikultural sawah milik,,9211,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,31,KBLI,PERTANIAN PADI DI SAWAH MILIK SENDIRI,tani padi sawah milik sendiri,,01122,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,32,KBJI,PERTANIAN PADI DI SAWAH MILIK SENDIRI,tani padi sawah milik sendiri,,6111,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,33,KBLI,BURUH (PELAYAN DI TOKO KLONTONG),buruh layan toko klontong,,47112,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,34,KBJI,BURUH (PELAYAN DI TOKO KLONTONG),buruh layan toko klontong,,5223,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,35,KBLI,MENCUCI MOTOR DAN MOBIL,cuci motor mobil,,81290,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,36,KBJI,MENCUCI MOTOR DAN MOBIL,cuci motor mobil,,9122,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,37,KBLI,MENJUAL BOTOK PELAS DAN PECEL,jual botok pelas pecel,,56101,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,38,KBJI,MENJUAL BOTOK PELAS DAN PECEL,jual botok pelas pecel,,5212,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,39,KBLI,PENYEDIAAN MAKANAN,sedia makan,,56210,0,0,0,0,0.0
2. SQL LIKE + Advanced Preprocessing,40,KBJI,PENYEDIAAN MAKANAN,sedia makan,,9412,2,0,1,1,0.5
2. SQL LIKE + Advanced Preprocessing,41,KBLI,"BURUH BANGUNAN, MENGADUK SEMEN",buruh bangun aduk semen,,41011,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,42,KBJI,"BURUH BANGUNAN, MENGADUK SEMEN",buruh bangun aduk semen,,7111,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,43,KBLI,MENJUAL ES TEH JUMBO,jual es teh jumbo,,56303,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,44,KBJI,MENJUAL ES TEH JUMBO,jual es teh jumbo,,5223,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,45,KBLI,JASA ANTAR UNDANGAN ACARA,antar undang acara,,96909,0,0,0,0,0.0
2. SQL LIKE + Advanced Preprocessing,46,KBJI,JASA ANTAR UNDANGAN ACARA,antar undang acara,,5169,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,47,KBLI,JASA KONTRUKSI TUKANG BANGUNAN HARIAN,kontruksi bangun hari,,41011,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,48,KBJI,JASA KONTRUKSI TUKANG BANGUNAN HARIAN,kontruksi bangun hari,,7111,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,49,KBLI,PEYEDIA MAKANAN SIOMAY KELILING DENGAN SEPEDA,peyedia makan siomay keliling sepeda,,56102,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,50,KBJI,PEYEDIA MAKANAN SIOMAY KELILING DENGAN SEPEDA,peyedia makan siomay keliling sepeda,,5212,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,51,KBLI,"MENCAMPUR SEMEN, MENGANGKUT MATERIAL, MEMASANG BATA, PLESTER DINDING, DAN MEN",campur semen angkut material pasang bata plester dinding men,,41011,4,0,0,1,0.25
2. SQL LIKE + Advanced Preprocessing,52,KBJI,"MENCAMPUR SEMEN, MENGANGKUT MATERIAL, MEMASANG BATA, PLESTER DINDING, DAN MEN",campur semen angkut material pasang bata plester dinding men,,7111,3,0,1,1,0.3333
2. SQL LIKE + Advanced Preprocessing,53,KBLI,MENGOPERASIKAN DAN MEMPERBAIKI MESIN PRODUKSI DAN PERAWATAN BERKALA,operasi baik mesin produksi awat kala,,16101,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,54,KBJI,MENGOPERASIKAN DAN MEMPERBAIKI MESIN PRODUKSI DAN PERAWATAN BERKALA,operasi baik mesin produksi awat kala,,3122,2,0,1,1,0.5
2. SQL LIKE + Advanced Preprocessing,55,KBLI,PERTANIAN BAWANG MERAH MILIK ORANG LAIN,tani bawang merah milik,,01134,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,56,KBJI,PERTANIAN BAWANG MERAH MILIK ORANG LAIN,tani bawang merah milik,,9211,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,57,KBLI,KONTRUSI RUMAH,kontrusi rumah,,41011,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,58,KBJI,KONTRUSI RUMAH,kontrusi rumah,,7112,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,59,KBLI,INDUSTRI AIR ISI ULANG,industri air isi ulang,,11052,1,1,1,1,1.0
2. SQL LIKE + Advanced Preprocessing,60,KBJI,INDUSTRI AIR ISI ULANG,industri air isi ulang,,8183,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,1,KBLI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),"liar maton mencabut pertanian rumput sawah tanaman pangan | +KBLI: lahan tani padi, sawah padi, usaha tani",,01122,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,2,KBJI,MENCABUT RUMPUT LIAR DI SAWAH(MATON),"liar maton mencabut pertanian rumput sawah tanaman pangan | +KBJI: buruh matun sawah, pekerja sawah, tukang cabut rumput",,9211,2,0,1,1,0.5
3. SQL LIKE + Preprocessing + Expansion,3,KBLI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA","etalase kaca lemari membuat mengantar pesanan | +KBLI: bengkel kaca etalase, toko lemari kaca, usaha rak kaca",,31011,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,4,KBJI,"MEMBUAT LEMARI KACA/ ETALASE, MENGANTAR PESANAN LEMARI KACA","etalase kaca lemari membuat mengantar pesanan | +KBJI: pengrajin lemari kaca, sopir antar lemari, tukang bikin etalase",,7523,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,5,KBLI,PERTANIAN,"pertanian | +KBLI: lahan kebun, sektor pertanian, usaha tani",,01122,0,0,0,0,0.0
3. SQL LIKE + Preprocessing + Expansion,6,KBJI,PERTANIAN,"pertanian | +KBJI: buruh tani, pekerja ladang, petani",,9211,0,0,0,0,0.0
3. SQL LIKE + Preprocessing + Expansion,7,KBLI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,"dijual dipasar kampung membuat resoles | +KBLI: katering gorengan, produksi risoles, usaha jajanan pasar",,47249,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,8,KBJI,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,"dijual dipasar kampung membuat resoles | +KBJI: pembuat gorengan, penjual snack, tukang masak risoles",,5212,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,9,KBLI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,"alquran mata mengajar mts pelajaran pkn tahassus | +KBLI: instansi pendidikan, lembaga sekolah, sekolah mts",,85316,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,10,KBJI,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,"alquran mata mengajar mts pelajaran pkn tahassus | +KBJI: guru pkn, pendidik honorer, pengajar madrasah",,2330,0,0,0,0,0.0
3. SQL LIKE + Preprocessing + Expansion,11,KBLI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",akhir dipabrik karyawan kayu lai pemotongan produksi sesuai,,16211,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,12,KBJI,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAI",akhir dipabrik karyawan kayu lai pemotongan produksi sesuai,,9329,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,13,KBLI,PERTANIAN PADI,"padi pertanian | +KBLI: lahan kebun, lahan sawah padi, pertanian pangan",,01122,2,0,1,1,0.5
3. SQL LIKE + Preprocessing + Expansion,14,KBJI,PERTANIAN PADI,"padi pertanian | +KBJI: buruh tanam padi, buruh tani, pekerja ladang",,6111,2,0,1,1,0.5
3. SQL LIKE + Preprocessing + Expansion,15,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,"bawang hortikultural merah milik pertanian sawah tanaman pangan | +KBLI: kebun bawang merah, lahan bawang, lahan kebun",,01134,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,16,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,"bawang hortikultural merah milik pertanian sawah tanaman pangan | +KBJI: buruh harian bawang, buruh petik bawang, buruh tani",,9211,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,17,KBLI,KONTRUKSI RUMAH DI DESA,"bangunan desa hunian konstruksi kontruksi rumah | +KBLI: jasa bangun rumah, kontraktor kampung, proyek bangun rumah",,41011,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,18,KBJI,KONTRUKSI RUMAH DI DESA,"bangunan desa hunian konstruksi kontruksi rumah | +KBJI: kepala tukang, kuli bangunan proyek, tukang bangunan rumah",,7112,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,19,KBLI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,"barang bekas dijual lagi perdagangan | +KBLI: lapak loak, toko barang bekas, usaha jual beli second",,47749,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,20,KBJI,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,"barang bekas dijual lagi perdagangan | +KBJI: bakul loak, pedagang barang second, penjual barang bekas",,5249,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,21,KBLI,PEDAGANG MOTOR DI RUMAH SENDIRI,"bangunan bermotor hunian kendaraan konstruksi motor roda dua rumah | +KBLI: bisnis motor second, jual beli motor bekas, showroom motor rumahan",,47832,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,22,KBJI,PEDAGANG MOTOR DI RUMAH SENDIRI,"bangunan bermotor hunian kendaraan konstruksi motor roda dua rumah | +KBJI: makelar motor bekas, pedagang motor rumah, penjual sepeda motor",,5249,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,23,KBLI,JASA TRANSPORTASI,"transportasi | +KBLI: armada transportasi, jasa pengiriman logistik, usaha angkutan barang",,49231,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,24,KBJI,JASA TRANSPORTASI,"transportasi | +KBJI: driver logistik, pengemudi antar barang, sopir truk angkutan",,8322,3,0,1,1,0.3333
3. SQL LIKE + Preprocessing + Expansion,25,KBLI,PENYEDIA BHAN BAKU MAKANAN,baku bhan makanan penyedia,,47213,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,26,KBJI,PENYEDIA BHAN BAKU MAKANAN,baku bhan makanan penyedia,,9520,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,27,KBLI,TUKANG BATU,"batu | +KBLI: jasa pengerjaan batu, proyek bangunan fisik, usaha renovasi",,41011,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,28,KBJI,TUKANG BATU,"batu | +KBJI: pekerja bangunan batu, tukang batu konstruksi, tukang plester",,7111,2,0,1,1,0.5
3. SQL LIKE + Preprocessing + Expansion,29,KBLI,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,"bawang hortikultural merah milik pertanian sawah tanaman pangan | +KBLI: kebun bawang merah, lahan bawang, lahan kebun",,01134,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,30,KBJI,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,"bawang hortikultural merah milik pertanian sawah tanaman pangan | +KBJI: buruh harian bawang, buruh petik bawang, buruh tani",,9211,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,31,KBLI,PERTANIAN PADI DI SAWAH MILIK SENDIRI,"milik padi pertanian sawah sendiri tanaman pangan | +KBLI: lahan kebun, lahan sawah padi, pertanian pangan",,01122,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,32,KBJI,PERTANIAN PADI DI SAWAH MILIK SENDIRI,"milik padi pertanian sawah sendiri tanaman pangan | +KBJI: buruh tanam padi, buruh tani, pekerja ladang",,6111,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,33,KBLI,BURUH (PELAYAN DI TOKO KLONTONG),"buruh eceran kelontong klontong manisan pelayan toko | +KBLI: retail kelontong, toko kebutuhan harian, warung kelontong sembako",,47112,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,34,KBJI,BURUH (PELAYAN DI TOKO KLONTONG),"buruh eceran kelontong klontong manisan pelayan toko | +KBJI: asisten penjualan, pelayan toko sembako, penjaga warung kelontong",,5223,5,0,0,1,0.2
3. SQL LIKE + Preprocessing + Expansion,35,KBLI,MENCUCI MOTOR DAN MOBIL,"angkutan bermotor kendaraan mencuci mobil motor roda dua | +KBLI: bisnis motor second, jual beli motor bekas, showroom motor rumahan",,81290,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,36,KBJI,MENCUCI MOTOR DAN MOBIL,"angkutan bermotor kendaraan mencuci mobil motor roda dua | +KBJI: makelar motor bekas, pedagang motor rumah, penjual sepeda motor",,9122,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,37,KBLI,MENJUAL BOTOK PELAS DAN PECEL,"botok menjual pecel pelas | +KBLI: kedai nasi pecel, usaha kuliner tradisional, warung pecel botok",,56101,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,38,KBJI,MENJUAL BOTOK PELAS DAN PECEL,"botok menjual pecel pelas | +KBJI: pedagang botok keliling, penjual nasi pecel, penjual pecel pelas",,5212,1,1,1,1,1.0
3. SQL LIKE + Preprocessing + Expansion,39,KBLI,PENYEDIAAN MAKANAN,"makanan penyediaan | +KBLI: bisnis makanan siap saji, industri jasa boga, katering acara",,56210,3,0,1,1,0.3333
