no,tipe,query,preprocessed,kode_gt,rank,top1,top3,top10,rr
32,KBJI,PERTANIAN PADI DI SAWAH MILIK SENDIRI,tani padi sawah milik sendiri,6111,1,1,1,1,1.0
33,KBLI,BURUH (PELAYAN DI TOKO KLONTONG),buruh layan toko klontong,47112,1,1,1,1,1.0
34,KBJI,BURUH (PELAYAN DI TOKO KLONTONG),buruh layan toko klontong,5223,1,1,1,1,1.0
35,KBLI,MENCUCI MOTOR DAN MOBIL,cuci motor mobil,81290,1,1,1,1,1.0
36,KBJI,MENCUCI MOTOR DAN MOBIL,cuci motor mobil,9122,1,1,1,1,1.0
37,KBLI,MENJUAL BOTOK PELAS DAN PECEL,jual botok pelas pecel,56101,1,1,1,1,1.0
38,KBJI,MENJUAL BOTOK PELAS DAN PECEL,jual botok pelas pecel,5212,1,1,1,1,1.0
39,KBLI,PENYEDIAAN MAKANAN,sedia makan,56210,2,0,1,1,0.5
40,KBJI,PENYEDIAAN MAKANAN,sedia makan,9412,1,1,1,1,1.0
41,KBLI,"BURUH BANGUNAN, MENGADUK SEMEN",buruh bangun aduk semen,41011,1,1,1,1,1.0
42,KBJI,"BURUH BANGUNAN, MENGADUK SEMEN",buruh bangun aduk semen,7111,1,1,1,1,1.0
43,KBLI,MENJUAL ES TEH JUMBO,jual es teh jumbo,56303,1,1,1,1,1.0
44,KBJI,MENJUAL ES TEH JUMBO,jual es teh jumbo,5223,1,1,1,1,1.0
45,KBLI,JASA ANTAR UNDANGAN ACARA,antar undang acara,96909,0,0,0,0,0.0
46,KBJI,JASA ANTAR UNDANGAN ACARA,antar undang acara,5169,1,1,1,1,1.0
47,KBLI,JASA KONTRUKSI TUKANG BANGUNAN HARIAN,kontruksi bangun hari,41011,1,1,1,1,1.0
48,KBJI,JASA KONTRUKSI TUKANG BANGUNAN HARIAN,kontruksi bangun hari,7111,1,1,1,1,1.0
49,KBLI,PEYEDIA MAKANAN SIOMAY KELILING DENGAN SEPEDA,peyedia makan siomay keliling sepeda,56102,1,1,1,1,1.0
50,KBJI,PEYEDIA MAKANAN SIOMAY KELILING DENGAN SEPEDA,peyedia makan siomay keliling sepeda,5212,1,1,1,1,1.0
51,KBLI,"MENCAMPUR SEMEN, MENGANGKUT MATERIAL, MEMASANG BATA, PLESTER DINDING, DAN MEN",campur semen angkut material pasang bata plester dinding men,41011,3,0,1,1,0.3333
52,KBJI,"MENCAMPUR SEMEN, MENGANGKUT MATERIAL, MEMASANG BATA, PLESTER DINDING, DAN MEN",campur semen angkut material pasang bata plester dinding men,7111,1,1,1,1,1.0
53,KBLI,MENGOPERASIKAN DAN MEMPERBAIKI MESIN PRODUKSI DAN PERAWATAN BERKALA,operasi baik mesin produksi awat kala,16101,1,1,1,1,1.0
54,KBJI,MENGOPERASIKAN DAN MEMPERBAIKI MESIN PRODUKSI DAN PERAWATAN BERKALA,operasi baik mesin produksi awat kala,3122,1,1,1,1,1.0
55,KBLI,PERTANIAN BAWANG MERAH MILIK ORANG LAIN,tani bawang merah milik,01134,1,1,1,1,1.0
56,KBJI,PERTANIAN BAWANG MERAH MILIK ORANG LAIN,tani bawang merah milik,9211,1,1,1,1,1.0
57,KBLI,KONTRUSI RUMAH,kontrusi rumah,41011,1,1,1,1,1.0
58,KBJI,KONTRUSI RUMAH,kontrusi rumah,7112,1,1,1,1,1.0
59,KBLI,INDUSTRI AIR ISI ULANG,industri air isi ulang,11052,1,1,1,1,1.0
60,KBJI,INDUSTRI AIR ISI ULANG,industri air isi ulang,8183,1,1,1,1,1.0
